original_code	code	name	island_code	region_area_id	town	original_name
TC092517302	TC072500002	Cercle Podem Ribagorça		45		Lleida - Ribagorça - Cercle Podem Ribagorça
TM092521741	TM072521701	Cercle Podem Tàrrega			m_25_217_3	Lleida - Tàrrega - Cercle Podem Tàrrega
TC092524304	TC072500003	Cercle Podem Aran		56		Lleida - Vielha - Cercle Podem Aran
TM1227016-01	TM102701601	Chantada			m_27_016_8	Lugo - Chantada - Chantada
TM1227019-01	TM102701901	Foz			m_27_019_3	Lugo - Foz - Foz
TM1227028-01	TM102702801	Círculo Lugo			m_27_028_8	Lugo - Lugo - Círculo Lugo
TM1227031-01	TM102703101	Monforte de Lemos			m_27_031_2	Lugo - Monforte de Lemos - Monforte de Lemos
TM1227057-01	TM102705701	Sarria			m_27_057_5	Lugo - Sarria - Sarria
TM127066-01	TM102706601	Viveiro			m_27_066_7	Lugo - Viveiro - Viveiro
TM132800401	TM112800401	El Álamo			m_28_004_0	Madrid - Álamo, El - El Álamo
TM132800501	TM112800501	Alcala de Henares			m_28_005_3	Madrid - Alcalá de Henares - Alcala de Henares
TM132800601	TM112800601	Alcobendas			m_28_006_6	Madrid - Alcobendas - Alcobendas
TM132800701	TM112800701	Alcorcón			m_28_007_2	Madrid - Alcorcón - Alcorcón
TM132800901	TM112800901	Algete			m_28_009_1	Madrid - Algete - Algete
TM132801001	TM112801001	Alpedrete			m_28_010_5	Madrid - Alpedrete - Alpedrete
TM132801301	TM112801301	Aranjuez			m_28_013_3	Madrid - Aranjuez - Aranjuez
TM132801401	TM112801401	Arganda del Rey			m_28_014_8	Madrid - Arganda del Rey - Arganda del Rey
TM132801501	TM112801501	Arroyomolinos			m_28_015_1	Madrid - Arroyomolinos - Arroyomolinos
TM132801801	TM112801801	Becerril de la Sierra			m_28_018_6	Madrid - Becerril de la Sierra - Becerril de la Sierra
TM132802201	TM112802201	Boadilla del Monte			m_28_022_5	Madrid - Boadilla del Monte - Boadilla del Monte
TC132802301	TM112802301	Bocema			m_28_023_1	Madrid - Boalo, El - Bocema
TM132803201	TM112803201	Camarma			m_28_032_3	Madrid - Camarma de Esteruelas - Camarma
TM132803301	TM112803301	Campo Real			m_28_033_9	Madrid - Campo Real - Campo Real
TM132803501	TM112803501	Carabaña			m_28_035_7	Madrid - Carabaña - Carabaña
TM132805101	TM112805101	Chapinería			m_28_051_3	Madrid - Chapinería - Chapinería
TM132804001	TM112804001	Ciempozuelos			m_28_040_9	Madrid - Ciempozuelos - Ciempozuelos
TM132804601	TM112804601	Collado Mediano			m_28_046_8	Madrid - Collado Mediano - Collado Mediano
TM132804701	TM112804701	Collado Villalba			m_28_047_4	Madrid - Collado Villalba - Collado Villalba
TM132804301	TM112804301	Colmenar de Oreja			m_28_043_7	Madrid - Colmenar de Oreja - Colmenar de Oreja
TM132804501	TM112804501	Colmenar Viejo			m_28_045_5	Madrid - Colmenar Viejo - Colmenar Viejo
TM132804401	TM112804401	Colmenarejo			m_28_044_2	Madrid - Colmenarejo - Colmenarejo
TM132804901	TM112804901	Coslada			m_28_049_3	Madrid - Coslada - Coslada
TM132805001	TM112805001	Cubas de la Sagra			m_28_050_6	Madrid - Cubas de la Sagra - Cubas de la Sagra
TM132805401	TM112805401	El Escorial			m_28_054_9	Madrid - Escorial, El - El Escorial
TM132805601	TM112805601	Fresnedillas de la Oliva			m_28_056_5	Madrid - Fresnedillas de la Oliva - Fresnedillas de la Oliva
TM132805701	TB112805701	Serracines			m_28_057_1	Madrid - Fresno de Torote - Serracines
TM132805801	TM112805801	Fuenlabrada			m_28_058_7	Madrid - Fuenlabrada - Fuenlabrada
TM132806101	TM112806101	Galapagar			m_28_061_1	Madrid - Galapagar - Galapagar
TM132806501	TM112806501	Getafe			m_28_065_0	Madrid - Getafe - Getafe
TM132806601	TM112806601	Griñón			m_28_066_3	Madrid - Griñón - Griñón
TM132806801	TM112806801	Guadarrama			m_28_068_5	Madrid - Guadarrama - Guadarrama
TM132807401	TM112807401	Leganés			m_28_074_5	Madrid - Leganés - Leganés
TM132807501	TM112807501	Loeches			m_28_075_8	Madrid - Loeches - Loeches
TM132890101	TM112890101	Lozoyuela			m_28_901_5	Madrid - Lozoyuela-Navas-Sieteiglesias - Lozoyuela
TB132807932	TB112807924	3 Barrios (Pueblo Nuevo, La Elipa y Barrio Bilbao)			m_28_079_6	Madrid - Madrid - 3 Barrios (Pueblo Nuevo, La Elipa y Barrio Bilbao)
TB132807914	TB112807909	Aravaca			m_28_079_6	Madrid - Madrid - Aravaca
TB132807905	TB112807902	Arganzuela			m_28_079_6	Madrid - Madrid - Arganzuela
TB132807929	TB112807921	Barajas			m_28_079_6	Madrid - Madrid - Barajas
TB132807930	TB112807922	Carabanchel- Latina			m_28_079_6	Madrid - Madrid - Carabanchel- Latina
TB132807902	TB112807901	Centro			m_28_079_6	Madrid - Madrid - Centro
TB132807910	TB112807905	Chamartín			m_28_079_6	Madrid - Madrid - Chamartín
TB132807912	TB112807907	Chamberí			m_28_079_6	Madrid - Madrid - Chamberí
TB132807927	TB112807920	Ciudad Lineal			m_28_079_6	Madrid - Madrid - Ciudad Lineal
TB132807915	TB112807910	Dehesa de la Villa			m_28_079_6	Madrid - Madrid - Dehesa de la Villa
TB132807913	TB112807908	Fuencarral- El Pardo			m_28_079_6	Madrid - Madrid - Fuencarral- El Pardo
TB132807917	TB112807912	Hortaleza			m_28_079_6	Madrid - Madrid - Hortaleza
TB132807916	TB112807911	La Bombilla			m_28_079_6	Madrid - Madrid - La Bombilla
TB132807926	TB112807919	Moratalaz			m_28_079_6	Madrid - Madrid - Moratalaz
